Company,about,rating,reviews,salaries,location,jobs,interviews
PHN Technology,EdTech ,4.3,354,37,Pune +32 other locations,4,37
Fidelity National Financial,Financial Services ,3.8,6k,59,Bangalore / Bengaluru +15 other locations,7,59
Rockman Industries,Auto Components ,3.9,3.8k,92,Haridwar +40 other locations,11,92
Kirloskar Oil Engines,Industrial Machinery ,4.1,4k,61,Pune +105 other locations,23,61
Fidelity Investments,Financial Services ,4.1,8k,122,Bangalore / Bengaluru +19 other locations,2,122
Diageo,Beverage ,3.8,6.2k,90,Bangalore / Bengaluru +97 other locations,52,90
Royal Migration Solutions,Other ,4.9,5,1,Dubai +12 other locations,--,1
JK Lakshmi Cement,Building Material ,3.7,3.7k,76,New Delhi +140 other locations,1,76
DLF,Real Estate ,3.9,4.6k,95,Gurgaon / Gurugram +35 other locations,7,95
Intel,Semiconductors ,4.1,8.8k,237,Bangalore / Bengaluru +36 other locations,37,237
Colliers India,Real Estate ,3.9,4.8k,89,Bangalore / Bengaluru +46 other locations,109,89
Ahluwalia Contracts India,Engineering & Construction ,4.0,3.4k,73,New Delhi +58 other locations,23,73
ACG Worldwide,Pharma ,3.8,3.9k,83,Mumbai +31 other locations,28,83
JTEKT,Auto Components ,4.1,4.3k,90,Gurgaon / Gurugram +29 other locations,--,90
Barclays Shared Services,Financial Services ,3.8,4.8k,37,Chennai +16 other locations,900,37
ExcelR,Education & Training ,3.7,1k,107,Bangalore / Bengaluru +24 other locations,37,107
The Jaypee Group,Engineering & Construction ,3.8,3.3k,50,Noida +106 other locations,4,50
Xyz Company,Financial Services ,3.8,43.4k,522,Bangalore / Bengaluru +95 other locations,--,522
Baazar Retail Private Limited,Retail ,4.5,1.5k,83,Kolkata +107 other locations,--,83
Thyrocare Technologies,Healthcare ,3.7,4.3k,86,Mumbai +75 other locations,1,86
Ocwen Financial Solutions,Financial Services ,3.9,4.4k,51,Bangalore / Bengaluru +9 other locations,10,51
Indostar Capital Finance Limited,NBFC ,4.4,2k,188,Mumbai +322 other locations,--,188
DP World,Logistics ,3.8,4.7k,91,Mumbai +83 other locations,95,91
DISH TV,Broadcasting ,3.4,3.4k,75,Noida +153 other locations,29,75
Edelweiss,Financial Services ,3.7,5.7k,62,Mumbai +113 other locations,--,62
Coca-Cola Company,Beverage ,4.0,3.2k,100,Bangalore / Bengaluru +204 other locations,10,100
Nilkamal,Furniture & Furnishing ,3.7,3.6k,79,Mumbai +112 other locations,11,79
Electronica Finance,NBFC ,4.1,2.8k,138,Pune +170 other locations,19,138
Podar International School,Education & Training ,4.1,3.2k,80,Mumbai +124 other locations,1,80
Salesforce,Software Product ,3.9,12.8k,247,Hyderabad / Secunderabad +40 other locations,171,247
PayPal,FinTech ,3.8,9.5k,236,Bangalore / Bengaluru +15 other locations,--,236
Innova Solutions,IT Services & Consulting ,3.3,7.8k,98,Hyderabad / Secunderabad +37 other locations,47,98
Johnson Lifts,Industrial Machinery ,3.9,3.7k,48,Chennai +75 other locations,8,48
Apollo Health and Lifestyle Limited,Healthcare ,4.3,3.3k,118,Hyderabad / Secunderabad +93 other locations,32,118
Bajaj Motors,Auto Components ,3.9,3.3k,68,Gurgaon / Gurugram +89 other locations,--,68
MDIndia Health Insurance TPA,Insurance ,3.6,3.7k,69,Pune +94 other locations,49,69
Aparna Constructions and Estates,Real Estate ,3.9,3.9k,112,Hyderabad / Secunderabad +21 other locations,44,112
HFCL Limited,Telecom ,3.7,4.2k,81,Hyderabad / Secunderabad +111 other locations,17,81
Meril,Medical Equipment ,3.5,4.7k,83,Vapi +79 other locations,44,83
Nielsen,Analytics & KPO ,3.4,6.3k,152,Bangalore / Bengaluru +74 other locations,1,152
Dhoot Transmission,Auto Components ,3.7,3.9k,66,Aurangabad +42 other locations,9,66
London Stock Exchange Group,Financial Services ,3.7,10.5k,152,Bangalore / Bengaluru +11 other locations,39,152
Birla Corporation,Building Material ,4.1,3.6k,70,Kolkata +143 other locations,--,70
CaratLane - A Tata Product,Jewellery ,4.0,2.9k,67,Chennai +86 other locations,87,67
Schaeffler India,Auto Components ,4.0,5.4k,64,Vadodara +27 other locations,8,64
Strides Pharma,Pharma ,3.9,4.2k,75,Bangalore / Bengaluru +34 other locations,--,75
Biocon Biologics,Biotechnology ,3.7,6.5k,107,Bangalore / Bengaluru +26 other locations,1,107
Prism Johnson,Building Material ,3.7,4.3k,66,Mumbai +142 other locations,--,66
Zetwerk,Industrial Machinery ,4.0,3.9k,111,Bangalore / Bengaluru +118 other locations,14,111
Federal Bank,Banking ,3.6,5.5k,119,Mumbai +150 other locations,--,119
Piaggio,Automobile ,3.6,3.8k,71,Pune +82 other locations,5,71
Edelweiss Life Insurance,Insurance ,3.7,3.7k,58,Mumbai +123 other locations,39,58
Sri Chaitanya Techno Schools,Education & Training ,3.4,3.3k,71,Bangalore / Bengaluru +162 other locations,--,71
Barbeque Nation,Hospitality ,3.9,2.6k,48,Bangalore / Bengaluru +83 other locations,11,48
Wistron,Electronics Manufacturing ,4.0,5.2k,93,Bangalore / Bengaluru +22 other locations,--,93
Indira IVF Hospital,Healthcare ,4.0,2.9k,76,Mumbai +105 other locations,71,76
INDO-MIM,Metals & Mining ,4.0,4.2k,74,Bangalore / Bengaluru +34 other locations,10,74
ICON Plc,Clinical Research ,4.0,4.3k,135,Chennai +27 other locations,77,135
Jacobs Engineering Group,Engineering & Construction ,4.1,5k,88,Mumbai +42 other locations,14,88
Imperial Auto Industries,Auto Components ,3.8,4.6k,76,Faridabad +38 other locations,7,76
VMware Software,Software Product ,4.4,9.1k,145,Bangalore / Bengaluru +18 other locations,13,145
Saipem,Engineering & Construction ,4.2,3.2k,53,Chennai +41 other locations,7,53
Deccan Fine Chemicals,Agro Chemicals ,3.6,4.9k,103,Tuni +31 other locations,7,103
NxtWave,EdTech ,3.4,2.9k,247,Hyderabad / Secunderabad +52 other locations,303,247
Motilal Oswal Home Finance,NBFC ,4.3,1.3k,125,Mumbai +127 other locations,--,125
Aptiv,Auto Components ,3.4,7.9k,123,Bangalore / Bengaluru +26 other locations,17,123
Sundaram Finance,NBFC ,4.0,2.9k,44,Chennai +246 other locations,24,44
Jabil Circuit India,Electronics Manufacturing ,4.0,4.2k,65,Pune +31 other locations,76,65
Onward Technologies Inc,IT Services & Consulting ,2.9,6k,88,Pune +63 other locations,26,88
Hyundai Mobis,Auto Components ,3.7,5.1k,79,Chennai +47 other locations,12,79
Advantmed,Healthcare ,4.2,2.6k,169,Ahmedabad +15 other locations,41,169
Navitasys India,Electronics Manufacturing ,4.1,2.6k,142,Bawal +25 other locations,--,142
Wonder Home Finance,NBFC ,4.6,717,186,Jaipur +117 other locations,1,186
Balkrishna Industries,Auto Components ,4.0,4k,64,Bhuj +31 other locations,--,64
Zydus Wellness,FMCG ,4.1,2.8k,104,Ahmedabad +128 other locations,18,104
Kohler,Building Material ,3.7,4.8k,76,Pune +51 other locations,32,76
Stanza Living,Internet ,3.0,3.5k,89,Bangalore / Bengaluru +36 other locations,13,89
V2 Retail,Retail ,3.4,2.5k,81,New Delhi +125 other locations,48,81
Jet Airways,Aviation ,4.6,1.9k,24,Mumbai +45 other locations,--,24
Unicharm,FMCG ,4.0,2.8k,64,Gurgaon / Gurugram +188 other locations,--,64
Asirvad Microfinance,NBFC ,3.8,2.2k,43,Chennai +308 other locations,11,43
TK Elevator,Industrial Machinery ,3.8,4.2k,64,Pune +79 other locations,15,64
Syngenta,Agriculture ,4.2,3.6k,77,Pune +172 other locations,29,77
Kirloskar Brothers,Industrial Machinery ,3.8,4.3k,88,Pune +73 other locations,21,88
Sri Chaitanya Educational Institutions,Education & Training ,3.7,3k,49,Hyderabad / Secunderabad +102 other locations,2,49
Hikal,Pharma ,3.8,4.6k,76,Bangalore / Bengaluru +22 other locations,67,76
GAIL,Oil & Gas ,4.4,3.2k,80,New Delhi +101 other locations,--,80
CALIBEHR,IT Services & Consulting ,3.9,2.7k,65,Mumbai +182 other locations,10,65
Adani Ports and SEZ,Ports & Shipping ,3.6,3.9k,75,Mundra +61 other locations,--,75
Nexa,Automobile ,3.9,2.4k,41,New Delhi +212 other locations,--,41
Siemens Gamesa Renewable Power Private Limited,Power ,4.0,4.9k,60,Bangalore / Bengaluru +69 other locations,104,60
Tube Investments of India,Engineering & Construction ,3.8,3.5k,69,Chennai +63 other locations,14,69
Air India Sats Airport Services,Aviation ,3.5,2.4k,64,New Delhi +48 other locations,2,64
MAHLE ANAND Filter Systems,Auto Components ,4.0,3.4k,37,Pune +38 other locations,--,37
HPCL-Mittal Energy Limited,Petrochemicals ,4.3,4.6k,45,Bathinda +30 other locations,--,45
Vedanta Aluminium,Metals & Mining ,3.8,4.5k,64,Jharsuguda +45 other locations,--,64
Godrej Agrovet,Agriculture ,3.9,3.3k,62,Mumbai +144 other locations,5,62
MG Motor,Automobile ,3.8,4.7k,77,Vadodara +99 other locations,--,77
Metropolis Healthcare,Healthcare ,3.9,3.5k,64,Mumbai +101 other locations,--,64
1point1 Solutions,BPO ,3.3,3.1k,83,Bangalore / Bengaluru +18 other locations,87,83
Gmmco,Industrial Machinery ,4.0,2.9k,52,Chennai +89 other locations,7,52
Power Grid Corporation of India,Power ,4.3,2k,73,Gurgaon / Gurugram +233 other locations,--,73
Klm Axiva Finvest,NBFC ,4.4,751,436,Bangalore / Bengaluru +158 other locations,7,436
Bajaj Capital Insurance Broking Limited,Insurance ,4.4,1.2k,226,New Delhi +139 other locations,--,226
Pernod Ricard,Beverage ,3.5,4.4k,59,Gurgaon / Gurugram +119 other locations,9,59
Zf Rane Automotive,Auto Components ,3.9,3.9k,64,Chennai +50 other locations,--,64
Incheon Motors,Automobile ,4.7,325,276,Thrissur +15 other locations,5,276
Svatantra Microfin,NBFC ,3.9,2.1k,42,Mumbai +321 other locations,2,42
Nippon Life India Asset Management,Financial Services ,4.6,1.5k,158,Mumbai +188 other locations,95,158
Spencer's Retail,Retail ,3.8,2.8k,62,Kolkata +63 other locations,2,62
TKIL,Industrial Machinery ,4.1,4.4k,73,Pune +60 other locations,4,73
Bharat Sanchar Nigam,Telecom ,3.9,2.6k,47,Bangalore / Bengaluru +239 other locations,--,47
Dana Anand,Auto Components ,4.0,2.9k,52,Pune +47 other locations,--,52
Knorr-Bremse,Auto Components ,3.4,4.9k,66,Pune +30 other locations,1,66
Kinara Capital,NBFC ,4.2,2.2k,93,Bangalore / Bengaluru +112 other locations,32,93
Aarvi Encon,Recruitment ,3.9,2.9k,79,Mumbai +128 other locations,--,79
Thermo Fisher Scientific,Biotechnology ,3.7,6.4k,104,Bangalore / Bengaluru +35 other locations,172,104
TÜV NORD,"Testing, Inspection and Certification (TIC) ",3.7,3.9k,77,Pune +82 other locations,17,77
SYSKA LED Lights,Consumer Electronics & Appliances ,2.9,2.5k,58,Pune +156 other locations,--,58
Hindustan Zinc,Metals & Mining ,3.8,4.3k,54,Udaipur +36 other locations,--,54
GlobalData,Analytics & KPO ,3.4,5.7k,92,Hyderabad / Secunderabad +22 other locations,88,92
Aspire Systems,IT Services & Consulting ,3.8,9.6k,125,Chennai +23 other locations,40,125
Ceasefire Industries,Industrial Machinery ,3.1,2.4k,121,New Delhi +77 other locations,15,121
Wheels,Auto Components ,3.9,5k,71,Chennai +46 other locations,--,71
Northcorp Software,IT Services & Consulting ,4.8,213,810,Gurgaon / Gurugram +7 other locations,4,810
Sahara India Pariwar,Broadcasting ,3.8,2.4k,29,Lucknow +248 other locations,--,29
BirlaNu,Building Material ,3.9,2.8k,73,Hyderabad / Secunderabad +108 other locations,2,73
Amara Raja Group,Auto Components ,4.1,3.5k,73,Tirupati +78 other locations,--,73
Lakshmi Machine Works,Industrial Machinery ,3.8,4.2k,60,Coimbatore +32 other locations,22,60
Gharda Chemicals Limited,Agro Chemicals ,3.9,4.5k,81,Mumbai +72 other locations,--,81
Tata Capital Housing Finance,NBFC ,4.0,3.1k,49,Mumbai +166 other locations,1,49
iQor Global Services,BPO ,3.3,2.5k,45,Noida +49 other locations,24,45
Netcracker Technology,IT Services & Consulting ,3.0,9k,142,Hyderabad / Secunderabad +12 other locations,4,142
Otis Elevator,Industrial Machinery ,4.1,3.9k,62,Bangalore / Bengaluru +71 other locations,92,62
IIFL Home Finance,NBFC ,3.8,2.8k,54,Gurgaon / Gurugram +253 other locations,--,54
Hire In Global,Recruitment ,4.9,8,224,Mumbai +54 other locations,--,224
ValueMomentum,IT Services & Consulting ,3.2,8.7k,94,Hyderabad / Secunderabad +11 other locations,2,94
Temenos,Software Product ,3.2,8.9k,96,Chennai +11 other locations,27,96
Vistaar Finance,NBFC ,4.0,1.9k,33,Bangalore / Bengaluru +200 other locations,3,33
Allianz Technology,IT Services & Consulting ,4.1,6.7k,71,Pune +14 other locations,9,71
Uber,Internet ,4.2,8k,168,Hyderabad / Secunderabad +52 other locations,2,168
Crompton Greaves Consumer Electricals,Consumer Electronics & Appliances ,3.7,3.7k,57,Mumbai +105 other locations,26,57
SitusAMC,Financial Services ,3.3,5.4k,69,Bangalore / Bengaluru +18 other locations,--,69
Vertiv,Electronics Manufacturing ,3.9,4.3k,57,Pune +54 other locations,88,57
TradeIndia (Infocom Network Private Limited),Internet ,3.3,4.3k,86,New Delhi +42 other locations,21,86
Fractal Analytics,Analytics & KPO ,4.0,10.2k,226,Bangalore / Bengaluru +18 other locations,120,226
Lemon Tree Hotels,Hospitality ,4.0,2.7k,60,New Delhi +78 other locations,--,60
NBC Bearings,Auto Components ,3.9,3.6k,105,Jaipur +29 other locations,7,105
Encora,IT Services & Consulting ,3.4,7.9k,110,Bangalore / Bengaluru +19 other locations,35,110
Suzuki Motorcycle,Automobile ,4.0,3.8k,51,Gurgaon / Gurugram +118 other locations,2,51
Hitachi Energy,Power ,4.1,7k,111,Chennai +37 other locations,565,111
MakeMyTrip,Internet ,3.5,7.2k,140,Gurgaon / Gurugram +46 other locations,14,140
GVPR Engineers,Engineering & Construction ,3.7,3k,68,Hyderabad / Secunderabad +92 other locations,9,68
ALLEN Career Institute,Education & Training ,3.8,4.2k,72,Kota +71 other locations,21,72
Westside,Retail ,3.8,2k,56,Mumbai +106 other locations,--,56
AstraZeneca,Pharma ,3.9,7k,67,Chennai +49 other locations,--,67
Perfetti Van Melle,FMCG ,4.2,2.6k,36,Gurgaon / Gurugram +159 other locations,14,36
IB Group,Food Processing ,3.8,3.2k,75,Rajnandgaon +151 other locations,--,75
Visionet Systems,IT Services & Consulting ,3.4,5.9k,77,Bangalore / Bengaluru +17 other locations,26,77
Shyam Steel Group,Iron & Steel ,3.5,3.5k,82,Kolkata +82 other locations,8,82
eClinicalWorks,Software Product ,3.6,4.9k,77,Mumbai +19 other locations,21,77
Thomas Cook,Travel & Tourism ,4.0,3.6k,92,Mumbai +81 other locations,--,92
JW Marriott,Hospitality ,4.2,2k,48,Mumbai +43 other locations,--,48
Thomas Cook,Travel & Tourism ,4.0,3.6k,92,Mumbai +81 other locations,--,92
Colgate Palmolive,FMCG ,4.0,4.3k,83,Mumbai +120 other locations,31,83
Hinduja Housing Finance,NBFC ,3.7,2.7k,46,New Delhi +209 other locations,30,46
Secure Meters,Electronics Manufacturing ,3.9,4.4k,83,Udaipur +72 other locations,20,83
Atlas Copco,Industrial Machinery ,4.1,5.1k,97,Pune +58 other locations,--,97
Mastek,IT Services & Consulting ,3.6,6.5k,132,Mumbai +23 other locations,6,132
Malabar Gold and Diamonds,Jewellery ,4.0,2.5k,94,Hyderabad / Secunderabad +127 other locations,47,94
Bounteous x Accolite,IT Services & Consulting ,3.2,7.9k,242,Bangalore / Bengaluru +15 other locations,193,242
Pristyn Care,Internet ,3.2,4.1k,83,Gurgaon / Gurugram +33 other locations,12,83
Fortrea Development India Private Limited,Clinical Research ,3.9,4.8k,83,Bangalore / Bengaluru +11 other locations,24,83
QX Global Group,BPO ,3.1,4.2k,116,Ahmedabad +20 other locations,40,116
Hitachi Payment Services,FinTech ,3.6,3.3k,54,Mumbai +85 other locations,--,54
SLMG Beverages,Beverage ,3.9,3k,62,Lucknow +89 other locations,--,62
United Breweries,Beverage ,3.3,3.3k,55,Bangalore / Bengaluru +105 other locations,9,55
Comviva Technology,Software Product ,2.9,6k,85,Gurgaon / Gurugram +18 other locations,151,85
Star Cement,Building Material ,4.0,3.1k,85,Guwahati +79 other locations,1,85
Tata Cummins,Auto Components ,4.4,1.3k,84,Jamshedpur +44 other locations,--,84
Syrma SGS Technologies,Electronics Manufacturing ,4.0,3.2k,69,Chennai +23 other locations,5,69
Cult.fit,Fitness & Wellness ,3.6,4k,80,Bangalore / Bengaluru +41 other locations,158,80
Collins Aerospace,Defence & Aerospace ,3.8,7.3k,83,Bangalore / Bengaluru +11 other locations,19,83
Altisource,Real Estate ,3.4,3.7k,44,Bangalore / Bengaluru +9 other locations,29,44
Petrofac,Oil & Gas ,4.2,2.4k,47,Chennai +43 other locations,2,47
ALTEN,IT Services & Consulting ,3.6,5.9k,114,Bangalore / Bengaluru +23 other locations,15,114
Rebel Foods,Hospitality ,3.7,3.4k,73,Mumbai +80 other locations,22,73
Unity Small Finance Bank,Banking ,3.6,3.9k,62,Mumbai +145 other locations,30,62
Pizza Hut,Hospitality ,4.0,1.9k,48,New Delhi +128 other locations,--,48
Nasser S. Al Hajri Corporation,Engineering & Construction ,3.6,1.8k,41,Chennai +55 other locations,--,41
Aparajitha Corporate Services,Legal ,3.8,3k,51,Madurai +97 other locations,1,51
TechnipFMC,Engineering & Construction ,3.9,4.9k,83,Hyderabad / Secunderabad +43 other locations,49,83
Everest Industries,Building Material ,3.8,3.2k,60,Mumbai +97 other locations,11,60
Kendriya Vidyalaya Sangathan,Education & Training ,4.3,1.6k,64,New Delhi +232 other locations,--,64
Škoda Auto Volkswagen,Automobile ,3.9,4.5k,46,Pune +47 other locations,5,46
Arohan Financial Services,NBFC ,3.9,2.1k,39,Kolkata +229 other locations,12,39
Innodata India Private Limited,IT Services & Consulting ,3.6,2.6k,98,Noida +23 other locations,32,98
Amazon Web Services,IT Services & Consulting ,3.8,6.3k,185,Bangalore / Bengaluru +62 other locations,--,185
Xebia,IT Services & Consulting ,3.1,6.1k,93,Gurgaon / Gurugram +22 other locations,21,93
Mahindra Automotives,Automobile ,3.8,4.9k,46,Pune +128 other locations,--,46
Softenger,IT Services & Consulting ,4.0,2.6k,69,Pune +31 other locations,5,69
VIP Industries,Retail ,3.7,3k,50,Mumbai +94 other locations,15,50
Hiranandani Financial Services,NBFC ,4.4,950,203,Mumbai +134 other locations,9,203
Vaco Binary Semantics,IT Services & Consulting ,3.2,5.1k,92,Gurgaon / Gurugram +48 other locations,29,92
C&S Electric,Electrical Equipment ,4.0,3.7k,66,Noida +57 other locations,24,66
Natco Pharma,Pharma ,4.0,3.4k,53,Hyderabad / Secunderabad +64 other locations,1,53
Lowe's,Retail ,4.1,9.8k,150,Bangalore / Bengaluru +9 other locations,44,150
Barclays Global Service Centre,IT Services & Consulting ,3.9,7.9k,100,Pune +13 other locations,--,100
Mando Automotive,Auto Components ,4.0,4.3k,55,Chennai +21 other locations,--,55
Episource,IT Services & Consulting ,3.9,3.3k,226,Chennai +20 other locations,--,226
Napino Auto & Electronics,Auto Components ,3.8,3.8k,66,Gurgaon / Gurugram +24 other locations,--,66
LOREAL,Beauty & Personal Care ,3.8,3.7k,64,Mumbai +100 other locations,39,64
Capacit'e Infraprojects,Engineering & Construction ,3.7,3.2k,69,Mumbai +35 other locations,16,69
Merino Industries,Building Material ,3.8,3.4k,72,New Delhi +79 other locations,20,72
Pricol,Auto Components ,3.9,4.2k,53,Coimbatore +32 other locations,7,53
Wonder Cement,Building Material ,4.2,3.5k,60,Nimbahera +112 other locations,65,60
Quantiphi Analytics Solutions Private Limited,IT Services & Consulting ,3.1,7.1k,202,Bangalore / Bengaluru +17 other locations,113,202
MasterCard,FinTech ,3.9,11.2k,165,Pune +14 other locations,458,165
Tiger Analytics,IT Services & Consulting ,3.7,8.6k,250,Bangalore / Bengaluru +17 other locations,48,250
Jyothy Labs,FMCG ,4.1,2k,50,Mumbai +193 other locations,16,50
Lumina Datamatics,IT Services & Consulting ,3.1,4.5k,63,Mumbai +20 other locations,72,63
Gannon Dunkerley & Co.,Engineering & Construction ,3.3,2k,42,Kolkata +80 other locations,3,42
Gannon Dunkerley & Co.,Engineering & Construction ,3.3,2k,42,Kolkata +80 other locations,3,42
JSW Group,Iron & Steel ,3.8,4.2k,122,Mumbai +94 other locations,1,122
Jubilant Pharmova,Pharma ,3.7,3.3k,61,Noida +61 other locations,16,61
Siemens Energy,Power ,4.1,5.5k,98,Pune +50 other locations,1,98
Defence Research & Development Organisation,Defence & Aerospace ,4.5,3.8k,77,Hyderabad / Secunderabad +57 other locations,--,77
Tikona Infinet,Telecom ,3.5,2.7k,33,Mumbai +46 other locations,4,33
Financial Software & Systems,Software Product ,3.6,5.2k,66,Chennai +33 other locations,8,66
Yokohama Off-Highway Tires,Auto Components ,3.7,3.9k,65,Bharuch +38 other locations,--,65
J B Chemicals And Pharmaceuticals,Pharma ,3.9,3.2k,59,Mumbai +93 other locations,3,59
Salcomp Manufacturing,Electronics Manufacturing ,4.0,4.3k,83,Chennai +27 other locations,12,83
Hathway,Telecom ,3.3,3.5k,48,Mumbai +57 other locations,11,48
Aircel,Telecom ,4.4,1.2k,9,New Delhi +114 other locations,--,9
FLSmidth,Industrial Machinery ,3.5,4.1k,45,Chennai +24 other locations,15,45
Shriram General Insurance,Insurance ,3.6,2.9k,40,Jaipur +199 other locations,--,40
Velocis Systems,IT Services & Consulting ,3.8,5.1k,67,New Delhi +51 other locations,8,67
KEI Industries,Electrical Equipment ,4.3,3.2k,67,New Delhi +99 other locations,3,67
ICCS,BPO ,3.1,2.9k,64,Noida +31 other locations,13,64
Pramerica Life Insurance,Insurance ,3.6,2.4k,39,Gurgaon / Gurugram +125 other locations,7,39
Timken,Industrial Machinery ,3.9,4.1k,55,Jamshedpur +44 other locations,--,55
Sundaram Clayton,Auto Components ,3.9,2.8k,34,Chennai +29 other locations,2,34
Guidehouse,Management Consulting ,3.6,5.2k,76,Chennai +19 other locations,59,76
Astral Adhesives,Chemicals ,3.9,2.3k,54,Ahmedabad +155 other locations,--,54
Amphenol Interconnect,Electrical Equipment ,4.3,3.6k,50,Pune +18 other locations,7,50
Sandhar Technologies,Auto Components ,3.8,3.5k,49,Gurgaon / Gurugram +30 other locations,11,49
Signify,Consumer Electronics & Appliances ,3.5,4.3k,63,Bangalore / Bengaluru +82 other locations,34,63
Technip Energies,Engineering & Construction ,4.1,4.9k,88,Noida +39 other locations,37,88
Marsh McLennan,Management Consulting ,3.9,7.9k,50,Mumbai +24 other locations,3,50
Reliance Power,Power ,4.1,3.2k,59,Singrauli +41 other locations,2,59
Jaro Education,EdTech ,3.2,2.3k,108,Mumbai +23 other locations,20,108
VeeTechnologies,IT Services & Consulting ,3.8,4.4k,100,Bangalore / Bengaluru +39 other locations,33,100
Psp Projects,Engineering & Construction ,3.9,3k,73,Ahmedabad +57 other locations,25,73
Aristo Pharmaceuticals,Pharma ,3.9,2.3k,51,Mumbai +106 other locations,7,51
SFO Technologies,Electronics Manufacturing ,3.4,4.6k,46,Bangalore / Bengaluru +17 other locations,58,46
Adani Enterprises,Metals & Mining ,3.7,4.5k,101,Ahmedabad +76 other locations,2,101
Naukri,Internet ,4.2,3.1k,220,Noida +72 other locations,95,220
National Payments Corporation of India,FinTech ,3.9,4.1k,101,Mumbai +11 other locations,27,101
Amazon Sellers Services,Internet ,4.0,2.4k,130,Bangalore / Bengaluru +67 other locations,--,130
Apotex Research,Pharma ,3.8,2.8k,36,Bangalore / Bengaluru +14 other locations,27,36
Bhanzu,EdTech ,3.8,1.1k,190,Bangalore / Bengaluru +14 other locations,4,190
KMV Projects Limited,Engineering & Construction ,4.2,2.2k,60,Hyderabad / Secunderabad +69 other locations,--,60
Godfrey Phillips India,FMCG ,4.0,3.1k,42,New Delhi +119 other locations,--,42
Knight Frank,Real Estate ,4.0,3.3k,58,Mumbai +50 other locations,6,58
Nityo Infotech,IT Services & Consulting ,3.3,5k,99,Bangalore / Bengaluru +31 other locations,40,99
Test Yantra Software Solutions,IT Services & Consulting ,3.0,25.3k,145,Bangalore / Bengaluru +19 other locations,14,145
Deepak Fertilisers and Petrochemicals,Chemicals ,4.1,3.3k,48,Mumbai +58 other locations,19,48
Skipper,Industrial Machinery ,3.7,3k,63,Kolkata +88 other locations,2,63
GE Healthcare,Medical Equipment ,3.9,5.9k,85,Bangalore / Bengaluru +36 other locations,--,85
Netscribes,Analytics & KPO ,2.7,3k,94,Kolkata +17 other locations,37,94
Bayer,Pharma ,4.0,4.2k,59,Bangalore / Bengaluru +114 other locations,--,59
Tafe Motors & Tractors,Industrial Machinery ,3.9,2.8k,58,Bhopal +71 other locations,--,58
Bosch Chassis Systems,Auto Components ,4.1,2.7k,46,Pune +24 other locations,--,46
Nirma,FMCG ,4.2,3.1k,52,Bhavnagar +67 other locations,--,52
Experis IT,Recruitment ,3.0,3.5k,67,Bangalore / Bengaluru +35 other locations,--,67
Volvo,Automobile ,4.0,5.3k,77,Bangalore / Bengaluru +38 other locations,8,77
Aviva Life Insurance India,Insurance ,3.5,2.6k,34,Gurgaon / Gurugram +121 other locations,9,34
Egis  India Consulting Engineers,Engineering & Construction ,4.2,2.4k,57,Gurgaon / Gurugram +111 other locations,11,57
Xceedance,IT Services & Consulting ,3.6,6.1k,132,Gurgaon / Gurugram +14 other locations,3,132
Medhaj Techno Concept,Management Consulting ,4.0,2k,56,Lucknow +151 other locations,1,56
Neel Metal Products,Auto Components ,4.1,2.7k,56,Gurgaon / Gurugram +37 other locations,--,56
Navayuga Engineering Company,Engineering & Construction ,3.8,2.4k,61,Hyderabad / Secunderabad +73 other locations,9,61
BDR Pharmaceuticals International,Pharma ,4.1,1.9k,134,Vadodara +29 other locations,43,134
Volkswagen,Automobile ,4.1,3k,51,Pune +103 other locations,--,51
AJIO,Internet ,3.6,2.7k,65,Bangalore / Bengaluru +200 other locations,--,65
HomeLane,Architecture & Interior Design ,3.3,4.1k,92,Bangalore / Bengaluru +35 other locations,166,92
Schlumberger,Oil & Gas ,3.8,5.2k,155,Pune +36 other locations,46,155
Steag Energy Services,Power ,4.3,2.8k,47,Jharsuguda +63 other locations,13,47
BGR Energy Systems,Engineering & Construction ,3.8,3.2k,47,Chennai +54 other locations,--,47
OCS Group,Facility Management Services ,4.1,2.6k,59,Mumbai +57 other locations,17,59
Medha Servo Drives,Electrical Equipment ,4.3,3k,91,Hyderabad / Secunderabad +54 other locations,--,91
SKH Metals,Auto Components ,4.0,2.7k,76,Gurgaon / Gurugram +26 other locations,2,76
Yashoda Hospitals,Healthcare ,3.9,3.3k,64,Hyderabad / Secunderabad +30 other locations,20,64
Vedanta Resources,Metals & Mining ,3.7,4.9k,94,Jharsuguda +72 other locations,4,94
Re Sustainability Limited,Waste Management ,3.8,3k,58,Hyderabad / Secunderabad +84 other locations,45,58
Tata Chemicals,Chemicals ,3.9,2.7k,76,Jamnagar +85 other locations,10,76
HT Media,Media & Entertainment ,3.1,4.7k,60,New Delhi +43 other locations,6,60
Michelin,Auto Components ,3.7,4.8k,64,Pune +47 other locations,60,64
TNQ Tech Private Limited,Printing & Publishing ,3.5,4k,66,Chennai +13 other locations,14,66
Target,Retail ,4.0,6.6k,136,Bangalore / Bengaluru +17 other locations,104,136
CIEL HR,Recruitment ,4.0,3k,70,Bangalore / Bengaluru +105 other locations,1,70
Musashi Auto Parts,Auto Components ,3.8,2.9k,42,Rewari +26 other locations,1,42
Marks & Spencer,Retail ,3.9,3.1k,36,New Delhi +60 other locations,16,36
Updater Services,Facility Management Services ,3.7,2.9k,48,Chennai +99 other locations,6,48
