Company,about,rating,reviews,salaries,location,jobs,interviews
JSW Steel,Iron & Steel ,3.9,30.4k,792,Ballari +193 other locations,111,792
JPMorgan Chase & Co.,Financial Services ,3.8,86.1k,856,Bangalore / Bengaluru +55 other locations,758,856
HGS,BPO ,3.7,20.8k,273,Bangalore / Bengaluru +121 other locations,19,273
Jana Small Finance Bank,Banking ,3.8,14.2k,305,Bangalore / Bengaluru +418 other locations,35,305
Ujjivan Small Finance Bank,Banking ,4.0,13k,314,Bangalore / Bengaluru +533 other locations,210,314
Sun Pharmaceutical Industries,Pharma ,4.1,23.5k,654,Vadodara +265 other locations,337,654
Hexaware Technologies,IT Services & Consulting ,3.4,53.3k,816,Chennai +69 other locations,648,816
Amazon Development Centre India,Internet ,3.8,38.4k,877,Hyderabad / Secunderabad +146 other locations,8,877
Lupin,Pharma ,4.1,22.5k,437,Pune +201 other locations,36,437
L&T Construction,Engineering & Construction ,4.0,19.2k,943,Chennai +433 other locations,--,943
Ekart Logistics,Logistics ,3.9,15.8k,405,Bangalore / Bengaluru +740 other locations,--,405
Zydus Lifesciences,Pharma ,3.9,20k,420,Ahmedabad +176 other locations,28,420
Hindustan Unilever,FMCG ,4.2,20.1k,463,Mumbai +533 other locations,36,463
KPMG India,Management Consulting ,3.4,64.9k,915,Bangalore / Bengaluru +112 other locations,65,915
ITC,FMCG ,3.9,24.5k,684,Bangalore / Bengaluru +376 other locations,73,684
Axis Max Life Insurance,Insurance ,4.0,19.7k,399,New Delhi +496 other locations,139,399
Megha Engineering & Infrastructures,Engineering & Construction ,3.9,18.8k,561,Hyderabad / Secunderabad +406 other locations,40,561
Tata Projects,Engineering & Construction ,4.2,22.2k,584,Mumbai +286 other locations,23,584
Coforge,IT Services & Consulting ,3.2,48.7k,693,Noida +103 other locations,131,693
FIS,FinTech ,3.8,38.8k,532,Pune +61 other locations,125,532
Bajaj Life Insurance,Insurance ,3.9,17k,440,Pune +609 other locations,57,440
L&T Technology Services,IT Services & Consulting ,3.1,42.8k,626,Bangalore / Bengaluru +93 other locations,--,626
Cholamandalam Investment & Finance,Financial Services ,3.8,12.8k,280,Chennai +843 other locations,15,280
IIFL Finance,NBFC ,4.0,14.1k,323,Mumbai +802 other locations,70,323
Oracle,Software Product ,3.5,62.8k,945,Bangalore / Bengaluru +56 other locations,753,945
Muthoot Finance,NBFC ,3.7,13k,344,Bangalore / Bengaluru +784 other locations,87,344
Indian Army,Defence & Aerospace ,4.7,9.5k,202,New Delhi +364 other locations,--,202
Omega Healthcare,BPO ,3.8,26.5k,542,Chennai +69 other locations,109,542
JLL,Real Estate ,4.1,24.2k,480,Gurgaon / Gurugram +84 other locations,331,480
eClerx,IT Services & Consulting ,3.1,32k,628,Pune +32 other locations,182,628
HCL Group,IT Services & Consulting ,3.5,39.8k,514,Chennai +97 other locations,--,514
Piramal Finance,NBFC ,4.2,12.7k,292,Mumbai +423 other locations,6,292
Virtusa Consulting Services,IT Services & Consulting ,3.7,56.7k,666,Hyderabad / Secunderabad +55 other locations,1.3k,666
DMart,Retail ,3.9,18.6k,541,Mumbai +247 other locations,207,541
Indiamart Intermesh,Internet ,3.5,20.4k,744,Noida +173 other locations,551,744
HSBC Group,Financial Services ,3.9,42.8k,545,Bangalore / Bengaluru +63 other locations,128,545
SMFG India Credit,NBFC ,3.9,11k,205,Mumbai +595 other locations,79,205
Aurobindo Pharma,Pharma ,4.0,20.7k,287,Hyderabad / Secunderabad +115 other locations,13,287
Udaan,Internet ,3.9,15.7k,373,Bangalore / Bengaluru +367 other locations,6,373
Access Healthcare,BPO ,3.7,28.5k,392,Chennai +64 other locations,502,392
Siemens,Industrial Automation ,3.9,33.7k,504,Bangalore / Bengaluru +152 other locations,800,504
BigBasket,Internet ,3.9,19.2k,477,Bangalore / Bengaluru +140 other locations,83,477
PolicyBazaar,Internet ,3.7,17.2k,621,Gurgaon / Gurugram +149 other locations,471,621
Manappuram Finance,NBFC ,3.9,9.1k,220,Bangalore / Bengaluru +650 other locations,3,220
ICICI Lombard General Insurance Company,Insurance ,3.5,20.2k,353,Mumbai +313 other locations,188,353
Tata Capital,NBFC ,4.0,15.8k,266,Mumbai +439 other locations,3.5k,266
Firstsource Solutions,BPO ,3.5,24.2k,358,Bangalore / Bengaluru +74 other locations,150,358
Shapoorji Pallonji Group,Engineering & Construction ,4.1,15.3k,419,Mumbai +189 other locations,75,419
GlobalLogic,IT Services & Consulting ,3.5,40.3k,677,Hyderabad / Secunderabad +60 other locations,46,677
Standard Chartered,Banking ,3.6,41.9k,321,Chennai +68 other locations,--,321
Mahindra Finance,NBFC ,3.9,12.1k,216,Mumbai +731 other locations,469,216
Apollo Hospitals,Healthcare ,4.1,16.5k,476,Chennai +229 other locations,156,476
Bosch Global Software Technologies,IT Services & Consulting ,3.7,40.1k,387,Bangalore / Bengaluru +47 other locations,23,387
UST,IT Services & Consulting ,3.7,39.5k,583,Bangalore / Bengaluru +51 other locations,146,583
Ashok Leyland,Automobile ,4.0,18.6k,315,Chennai +260 other locations,--,315
Swiggy,Internet ,3.7,23k,562,Bangalore / Bengaluru +229 other locations,261,562
Citicorp,Financial Services ,3.7,52.2k,622,Pune +68 other locations,--,622
Hero MotoCorp,Automobile ,4.1,15.9k,406,Gurgaon / Gurugram +365 other locations,2,406
CGI Group,IT Services & Consulting ,4.0,45.5k,555,Bangalore / Bengaluru +43 other locations,546,555
Cyient,IT Services & Consulting ,3.6,27.5k,331,Hyderabad / Secunderabad +48 other locations,85,331
SBI Cards & Payment Services,Financial Services ,3.6,15.9k,301,Gurgaon / Gurugram +436 other locations,100,301
Kalpataru Projects International,Engineering & Construction ,4.2,13.8k,325,Mumbai +321 other locations,1,325
BNY,Financial Services ,3.6,30.8k,395,Pune +25 other locations,2,395
JustDial,Internet ,3.5,15.5k,391,Noida +229 other locations,53,391
IQVIA,Clinical Research ,3.7,30.7k,542,Bangalore / Bengaluru +65 other locations,25,542
NTT Data,IT Services & Consulting ,3.8,36k,739,Bangalore / Bengaluru +80 other locations,185,739
Nagarjuna Construction Company,Engineering & Construction ,4.0,12.1k,435,Hyderabad / Secunderabad +296 other locations,13,435
SBI Life Insurance Company,Insurance ,3.7,11.8k,306,Mumbai +656 other locations,8,306
TVS Motor,Automobile ,3.9,15.7k,394,Hosur +349 other locations,70,394
